Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Cambodia,935.0,Asia,920.0,South-Eastern Asia,902.0,Developing regions,12.0,19.0,26.0,33.0,10.0,7.0,8.0,14.0,15.0,27.0,34.0,38.0,93.0,418.0,371.0,286.0,216.0,313.0,241.0,165.0,245.0,259.0,230.0,277.0,348.0,370.0,529.0,460.0,354.0,203.0,200.0,196.0,233.0,288.0
Immigrants,Foreigners,Cameroon,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,9.0,2.0,16.0,7.0,8.0,13.0,11.0,18.0,20.0,38.0,34.0,66.0,71.0,78.0,67.0,122.0,178.0,104.0,197.0,220.0,244.0,206.0,222.0,301.0,436.0,604.0,697.0,1025.0,1279.0,1344.0,1800.0,1638.0,2507.0,2439.0
Immigrants,Citizens,Canada,905.0,Northern America,905.0,Northern America,901.0,Developed regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Immigrants,Foreigners,Central African Republic,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0,2.0,11.0,4.0,4.0,4.0,6.0,9.0,17.0,6.0,13.0,6.0,20.0,10.0,13.0,49.0,18.0,30.0,28.0,19.0,26.0,18.0,45.0,169.0
Immigrants,Foreigners,Chad,903.0,Africa,911.0,Middle Africa,902.0,Developing regions,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,7.0,14.0,8.0,2.0,10.0,13.0,6.0,5.0,38.0,26.0,30.0,122.0,148.0,90.0,76.0,64.0,92.0,126.0,96.0,131.0,95.0,87.0,98.0,79.0,97.0,86.0
Immigrants,Foreigners,Chile,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,1233.0,1069.0,1078.0,781.0,681.0,533.0,633.0,1454.0,990.0,1023.0,1286.0,1749.0,1175.0,697.0,352.0,273.0,244.0,325.0,376.0,397.0,366.0,369.0,401.0,347.0,383.0,384.0,427.0,530.0,350.0,375.0,340.0,174.0,291.0,273.0
Immigrants,Foreigners,China,935.0,Asia,906.0,Eastern Asia,902.0,Developing regions,5123.0,6682.0,3308.0,1863.0,1527.0,1816.0,1960.0,2643.0,2758.0,4323.0,8076.0,14255.0,10846.0,9817.0,13128.0,14398.0,19415.0,20475.0,21049.0,30069.0,35529.0,36434.0,31961.0,36439.0,36619.0,42584.0,33518.0,27642.0,30037.0,29622.0,30391.0,28502.0,33024.0,34129.0
Immigrants,Foreigners,"China, Hong Kong Special Administrative Region",935.0,Asia,906.0,Eastern Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,257.0,400.0,470.0,379.0,430.0,446.0,536.0,729.0,712.0,674.0,897.0,657.0,623.0,591.0,728.0,774.0
Immigrants,Foreigners,"China, Macao Special Administrative Region",935.0,Asia,906.0,Eastern Asia,902.0,Developing regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,28.0,21.0,21.0,21.0,32.0,16.0,12.0,21.0,21.0,13.0,33.0,29.0
Immigrants,Foreigners,Colombia,904.0,Latin America and the Caribbean,931.0,South America,902.0,Developing regions,266.0,326.0,360.0,244.0,235.0,214.0,257.0,376.0,352.0,439.0,614.0,652.0,582.0,464.0,375.0,371.0,381.0,578.0,929.0,1306.0,2259.0,2965.0,3283.0,4318.0,4566.0,6424.0,6535.0,5357.0,5452.0,4652.0,5218.0,4366.0,3741.0,3631.0
